date,open,high,low,close,volume
2024-09-05 13:30:00,83.75,85.5,79.75,85.5,248
2024-09-06 13:30:00,82.5,86.0,82.25,85.75,132
2024-09-09 13:30:00,82.5,86.0,77.25,84.75,392
2024-09-10 13:30:00,83.375,92.75,83.375,92.75,336
2024-09-11 13:30:00,90.0,92.75,88.25,92.75,680
2024-09-12 13:30:00,88.5,92.75,88.25,92.75,384
2024-09-13 13:30:00,92.25,92.5,89.5,92.5,212
2024-09-16 13:30:00,89.75,94.25,89.75,91.5,304
2024-09-17 13:30:00,94.25,94.5,89.05000305175781,90.75,408
2024-09-18 13:30:00,87.25,90.75,87.25,90.75,88
2024-09-19 13:30:00,91.0,91.0,87.5,90.5,108
2024-09-20 13:30:00,90.0,90.5,90.0,90.5,68
2024-09-23 13:30:00,92.5,94.5,87.55000305175781,94.25,428
2024-09-24 13:30:00,90.875,94.25,87.5,91.0,432
2024-09-25 13:30:00,92.0,93.5,88.57499694824219,93.5,460
2024-09-26 13:30:00,90.75,93.75,90.0,93.25,88
2024-09-27 13:30:00,90.5,93.5,90.5,92.5,368
2024-09-30 13:30:00,88.6500015258789,93.0,87.5,91.25,440
2024-10-01 13:30:00,89.0,91.25,83.0,89.75,616
2024-10-02 13:30:00,88.75,89.5,82.5,86.0,588
2024-10-03 13:30:00,83.0,90.75,79.5,88.75,384
2024-10-04 13:30:00,91.0,91.0,90.75,90.75,20
2024-10-07 13:30:00,90.0,91.25,79.5,89.0,1356
2024-10-08 13:30:00,89.75,89.75,80.25,83.25,1784
2024-10-09 13:30:00,83.0,85.0,79.75,84.75,824
2024-10-10 13:30:00,83.0,86.5,83.0,86.5,124
2024-10-11 13:30:00,87.25,90.0,87.25,88.75,300
2024-10-14 13:30:00,89.0,90.0,81.5,85.0,164
2024-10-15 13:30:00,85.25,85.25,74.125,79.5,11112
2024-10-16 13:30:00,79.5,81.25,76.625,79.5,2576
2024-10-17 13:30:00,82.75,83.5,70.625,74.75,1920
2024-10-18 13:30:00,76.0,77.5,71.0,77.5,640
2024-10-21 13:30:00,76.25,77.0,72.5250015258789,75.5,520
2024-10-22 13:30:00,72.75,75.75,70.0,75.75,948
2024-10-23 13:30:00,71.5,73.25,70.25,72.5,160
2024-10-24 13:30:00,74.75,74.75,67.75,72.25,660
2024-10-25 13:30:00,71.0,73.5,62.25,66.75,708
2024-10-28 13:30:00,66.75,66.75,60.5,65.75,500
2024-10-29 13:30:00,64.75,66.75,63.75,66.75,140
