date,open,high,low,close,volume
2024-08-26 13:30:00,58.75,58.75,56.0,57.0,2536
2024-08-27 13:30:00,58.5,58.5,51.75,52.5,3489
2024-08-28 13:30:00,53.25,53.25,50.25,50.75,2842
2024-08-29 13:30:00,51.25,53.75,50.0,52.5,1784
2024-08-30 13:30:00,51.25,53.75,50.5,52.75,1249
2024-09-03 13:30:00,54.75,54.75,50.25,50.5,1399
2024-09-04 13:30:00,51.0,51.25,48.25,49.75,2129
2024-09-05 13:30:00,48.75,51.0,48.5,49.75,1718
2024-09-06 13:30:00,51.0,51.25,48.75,50.5,1300
2024-09-09 13:30:00,52.5,53.75,50.75,52.75,1679
2024-09-10 13:30:00,53.5,55.0,51.25,53.5,1170
2024-09-11 13:30:00,53.0,60.0,51.5,56.75,6782
2024-09-12 13:30:00,56.5,57.5,54.0,56.25,1324
2024-09-13 13:30:00,56.75,58.5,55.5,57.5,1402
2024-09-16 13:30:00,57.5,60.0,56.25,58.75,2273
2024-09-17 13:30:00,58.75,61.25,57.5,60.5,3175
2024-09-18 13:30:00,61.75,61.75,57.5,59.25,1939
2024-09-19 13:30:00,60.75,60.75,56.25,57.25,1317
2024-09-20 13:30:00,57.5,62.5,55.0,55.0,5390
2024-09-23 13:30:00,55.0,56.25,52.25,53.5,1484
2024-09-24 13:30:00,53.5,55.75,47.5,48.75,7295
2024-09-25 13:30:00,48.75,50.75,48.0,48.5,4081
2024-09-26 13:30:00,48.5,50.5,47.5,48.5,2110
2024-09-27 13:30:00,48.5,50.0,46.25,47.5,4708
2024-09-30 13:30:00,47.5,49.0,47.0,47.75,1492
2024-10-01 13:30:00,47.75,49.25,46.25,47.5,1516
2024-10-02 13:30:00,48.5,48.5,45.75,47.25,1501
2024-10-03 13:30:00,48.0,48.5,47.25,47.5,1368
2024-10-04 13:30:00,47.5,48.25,45.0,45.75,5451
2024-10-07 13:30:00,45.75,47.25,44.25,44.5,3257
2024-10-08 13:30:00,44.5,44.5,41.25,41.75,5848
2024-10-09 13:30:00,41.75,41.75,39.25,40.75,3753
2024-10-10 13:30:00,40.0,45.0,35.0,35.75,16151
2024-10-11 13:30:00,33.25,37.25,31.75,34.75,14673
2024-10-14 13:30:00,36.0,36.0,27.5,29.25,28422
2024-10-15 13:30:00,29.0,32.0,27.25,28.0,19286
2024-10-16 13:30:00,27.5,29.5,27.5,28.0,9151
2024-10-17 13:30:00,28.0,31.75,27.25,28.0,16522
2024-10-18 13:30:00,27.5,30.0,27.25,27.5,17996
2024-10-21 13:30:00,28.25,30.0,27.5,28.75,18225
2024-10-22 13:30:00,28.75,31.25,27.5,28.25,17939
2024-10-23 13:30:00,32.0,32.75,26.5,27.75,80044
2024-10-24 13:30:00,26.75,26.75,22.0,23.25,64897
2024-10-25 13:30:00,23.25,24.5,20.5,21.5,40496
2024-10-28 13:30:00,21.5,23.25,19.25,21.5,35810
2024-10-29 13:30:00,21.75,22.5,19.25,20.0,72281
2024-10-30 13:30:00,19.75,20.0,14.0,15.0,152004
2024-10-31 13:30:00,14.75,15.0,12.75,14.5,56392
2024-11-01 13:30:00,15.0,15.75,14.0,14.25,44363
2024-11-04 14:30:00,13.75,13.75,12.25,12.5,70728
2024-11-05 14:30:00,12.5,23.5,10.25,11.75,1318566
2024-11-06 14:30:00,11.0,13.5,9.75,12.75,233772
2024-11-07 14:30:00,14.0,25.0,11.75,12.25,1410356
2024-11-08 14:30:00,12.25,15.5,12.25,14.5,342691
2024-11-11 14:30:00,14.5,14.5,12.5,13.5,201089
2024-11-12 14:30:00,13.25,13.5,11.75,12.25,154346
2024-11-13 14:30:00,13.5,16.75,12.75,14.25,553256
2024-11-14 14:30:00,16.75,21.75,13.0,14.25,1465040
2024-11-15 14:30:00,13.75,14.25,12.0,13.0,248230
2024-11-18 14:30:00,13.0,14.25,10.0,12.5,348284
2024-11-19 14:30:00,12.75,12.75,12.0,12.5,151706
2024-11-20 14:30:00,12.25,12.75,11.25,11.5,158547
2024-11-21 14:30:00,11.75,13.25,11.75,12.25,384454
2024-11-22 14:30:00,12.25,12.75,11.5,11.5,212586
2024-11-25 14:30:00,11.75,12.0,10.75,11.75,198677
2024-11-26 14:30:00,12.0,12.0,10.25,10.5,139771
2024-11-27 14:30:00,10.25,11.75,10.25,10.75,185867
2024-11-29 14:30:00,11.5,12.5,11.0,11.25,121892
2024-12-02 14:30:00,12.5,14.5,11.0,12.0,709880
2024-12-03 14:30:00,11.5,12.0,10.75,12.0,184311
2024-12-04 14:30:00,11.75,12.5,11.5,12.0,330680
2024-12-05 14:30:00,12.25,12.25,11.25,11.5,252999
2024-12-06 14:30:00,11.25,11.25,10.5,10.75,203395
2024-12-09 14:30:00,11.75,11.75,10.75,11.0,205779
2024-12-10 14:30:00,10.75,11.75,10.25,10.75,665646
2024-12-11 14:30:00,10.75,11.25,10.25,10.75,350870
2024-12-12 14:30:00,10.5,10.75,9.75,10.5,261290
2024-12-13 14:30:00,10.25,10.25,9.75,10.0,194450
2024-12-16 14:30:00,10.5,10.75,9.75,10.25,435223
2024-12-17 14:30:00,11.75,12.75,10.75,11.25,890202
2024-12-18 14:30:00,12.0,12.0,10.5,11.25,529886
2024-12-19 14:30:00,12.0,12.0,10.25,10.5,381936
2024-12-20 14:30:00,10.0,11.25,10.0,10.75,341098
2024-12-23 14:30:00,10.75,10.75,9.75,10.0,421073
2024-12-24 14:30:00,10.25,10.25,9.5,9.75,330624
2024-12-26 14:30:00,10.25,11.75,9.75,10.0,1074775
2024-12-27 14:30:00,11.0,11.5,9.75,10.0,1072001
2024-12-30 14:30:00,10.75,11.0,9.75,10.0,1170668
2024-12-31 14:30:00,12.0,12.25,10.0,10.75,1785242
2025-01-02 14:30:00,11.0,11.0,10.0,10.5,877587
2025-01-03 14:30:00,10.25,10.5,10.25,10.25,402247
2025-01-06 14:30:00,10.25,22.0,10.0,22.0,6232876
2025-01-07 14:30:00,52.5,60.0,25.0,28.5,10672918
2025-01-08 14:30:00,15.0,15.25,12.0,12.75,2452929
2025-01-10 14:30:00,8.0,8.300999641418457,3.8499999046325684,7.309999942779541,6229700
2025-01-13 14:30:00,7.199999809265137,7.639999866485596,5.809999942779541,6.869999885559082,1644800
2025-01-14 14:30:00,6.360000133514404,6.590000152587891,5.849999904632568,6.039999961853027,929800
2025-01-15 14:30:00,5.610000133514404,5.947999954223633,5.360000133514404,5.659999847412109,1033200
2025-01-16 14:30:00,5.760000228881836,6.860000133514404,5.510000228881836,6.389999866485596,1324100
2025-01-17 14:30:00,6.079999923706055,6.599999904632568,5.849999904632568,5.980000019073486,723800
2025-01-21 14:30:00,6.050000190734863,6.059999942779541,5.300000190734863,5.579999923706055,1150700
2025-01-22 14:30:00,5.590000152587891,5.590000152587891,5.0,5.0,673400
2025-01-23 14:30:00,4.840000152587891,4.940000057220459,4.289999961853027,4.539999961853027,648300
2025-01-24 14:30:00,4.570000171661377,5.25,4.539999961853027,4.889999866485596,622100
2025-01-27 14:30:00,4.739999771118164,5.349999904632568,4.739999771118164,5.010000228881836,385300
2025-01-28 14:30:00,4.869999885559082,4.99399995803833,4.559999942779541,4.789999961853027,216400
2025-01-29 14:30:00,4.809999942779541,4.854000091552734,4.550000190734863,4.590000152587891,148400
2025-01-30 14:30:00,4.579999923706055,4.89900016784668,4.559999942779541,4.760000228881836,158900
2025-01-31 14:30:00,4.909999847412109,5.480000019073486,4.889999866485596,5.070000171661377,470700
2025-02-03 14:30:00,5.059999942779541,5.059999942779541,4.510000228881836,4.730000019073486,329500
2025-02-04 14:30:00,4.710000038146973,5.050000190734863,4.679999828338623,4.679999828338623,179900
2025-02-05 14:30:00,4.599999904632568,4.690000057220459,4.449999809265137,4.579999923706055,177500
2025-02-06 14:30:00,4.559999942779541,4.670000076293945,4.449999809265137,4.53000020980835,150300
2025-02-07 14:30:00,4.53000020980835,4.669000148773193,4.25,4.380000114440918,204500
2025-02-10 14:30:00,4.460000038146973,4.489999771118164,4.119999885559082,4.389999866485596,236000
2025-02-11 14:30:00,4.309999942779541,4.329999923706055,4.099999904632568,4.170000076293945,160300
2025-02-12 14:30:00,3.950000047683716,4.210000038146973,3.694000005722046,4.210000038146973,729200
2025-02-13 14:30:00,4.119999885559082,4.25,4.050000190734863,4.099999904632568,121300
2025-02-14 14:30:00,4.079999923706055,4.199999809265137,3.867000102996826,3.940000057220459,205500
2025-02-18 14:30:00,3.940000057220459,4.079999923706055,3.940000057220459,4.0,101500
2025-02-19 14:30:00,4.010000228881836,4.061999797821045,3.859999895095825,3.890000104904175,127300
2025-02-20 14:30:00,3.8399999141693115,3.890000104904175,3.5999999046325684,3.7699999809265137,355700
2025-02-21 14:30:00,3.8299999237060547,3.8299999237060547,3.6500000953674316,3.6500000953674316,126400
2025-02-24 14:30:00,3.6500000953674316,3.6500000953674316,3.3499999046325684,3.4200000762939453,182400
2025-02-25 14:30:00,3.3499999046325684,3.4200000762939453,3.109999895095825,3.3399999141693115,135900
2025-02-26 14:30:00,3.3299999237060547,3.390000104904175,3.2200000286102295,3.259999990463257,81100
2025-02-27 14:30:00,3.259999990463257,3.369999885559082,2.9100000858306885,2.9800000190734863,129200
2025-02-28 14:30:00,2.9600000381469727,3.0250000953674316,2.799999952316284,2.869999885559082,123100
2025-03-03 14:30:00,2.869999885559082,3.0450000762939453,2.5899999141693115,2.619999885559082,292000
2025-03-04 14:30:00,2.5899999141693115,2.5999999046325684,2.4000000953674316,2.4800000190734863,219900
2025-03-05 14:30:00,2.4700000286102295,3.140000104904175,2.4600000381469727,2.9200000762939453,538300
2025-03-06 14:30:00,3.0,3.3889999389648438,2.680000066757202,2.809999942779541,566400
2025-03-07 14:30:00,2.759999990463257,3.1500000953674316,2.759999990463257,3.0799999237060547,326100
2025-03-10 13:30:00,2.9800000190734863,3.0789999961853027,2.6510000228881836,2.7699999809265137,203100
2025-03-11 13:30:00,2.7799999713897705,2.880000114440918,2.609999895095825,2.759999990463257,135400
2025-03-12 13:30:00,2.7899999618530273,2.8399999141693115,2.6700000762939453,2.759999990463257,69200
2025-03-13 13:30:00,2.819999933242798,2.950000047683716,2.7300000190734863,2.8299999237060547,81500
2025-03-14 13:30:00,2.8299999237060547,2.9100000858306885,2.799999952316284,2.8499999046325684,88700
2025-03-17 13:30:00,2.8299999237060547,2.9000000953674316,2.680000066757202,2.680000066757202,141600
2025-03-18 13:30:00,2.950000047683716,2.950000047683716,2.5299999713897705,2.549999952316284,1280200
2025-03-19 13:30:00,2.5,2.618000030517578,2.299999952316284,2.5399999618530273,396700
2025-03-20 13:30:00,2.490000009536743,2.9000000953674316,2.4719998836517334,2.619999885559082,395800
2025-03-21 13:30:00,2.569999933242798,2.619999885559082,2.359999895095825,2.380000114440918,301200
2025-03-24 13:30:00,2.549999952316284,2.549999952316284,2.4000000953674316,2.5199999809265137,140300
2025-03-25 13:30:00,2.640000104904175,2.8499999046325684,2.430000066757202,2.609999895095825,278400
2025-03-26 13:30:00,2.609999895095825,2.609999895095825,2.450000047683716,2.549999952316284,120500
2025-03-27 13:30:00,2.4800000190734863,2.5299999713897705,2.365000009536743,2.4600000381469727,274900
2025-03-28 13:30:00,1.3200000524520874,1.340000033378601,1.2000000476837158,1.2300000190734863,1821000
2025-03-31 13:30:00,1.2300000190734863,1.2300000190734863,1.059999942779541,1.090000033378601,531700
2025-04-01 13:30:00,1.100000023841858,1.1699999570846558,1.0099999904632568,1.0399999618530273,532400
2025-04-02 13:30:00,1.0399999618530273,1.159999966621399,0.9599999785423279,1.1399999856948853,930100
2025-04-03 13:30:00,1.1200000047683716,1.1449999809265137,1.0399999618530273,1.1200000047683716,435900
2025-04-04 13:30:00,1.0700000524520874,1.1299999952316284,1.0299999713897705,1.100000023841858,337400
2025-04-07 13:30:00,1.090000033378601,1.1100000143051147,1.0099999904632568,1.090000033378601,269600
2025-04-08 13:30:00,1.1399999856948853,1.149999976158142,1.0920000076293945,1.1299999952316284,214600
2025-04-09 13:30:00,1.100000023841858,1.190000057220459,1.059999942779541,1.149999976158142,297100
2025-04-10 13:30:00,1.159999966621399,1.2000000476837158,1.1050000190734863,1.159999966621399,243000
2025-04-11 13:30:00,1.190000057220459,1.2100000381469727,1.1349999904632568,1.2000000476837158,233000
2025-04-14 13:30:00,1.2799999713897705,1.2799999713897705,1.190000057220459,1.2799999713897705,248000
2025-04-15 13:30:00,1.309999942779541,1.3799999952316284,1.2899999618530273,1.3700000047683716,426800
2025-04-16 13:30:00,1.2999999523162842,1.3359999656677246,1.1399999856948853,1.1799999475479126,332300
2025-04-17 13:30:00,1.2000000476837158,1.2100000381469727,1.159999966621399,1.190000057220459,119600
2025-04-21 13:30:00,1.2000000476837158,1.2000000476837158,1.159999966621399,1.190000057220459,97300
2025-04-22 13:30:00,1.1799999475479126,1.2000000476837158,1.1399999856948853,1.149999976158142,139900
2025-04-23 13:30:00,1.190000057220459,1.2000000476837158,1.149999976158142,1.2000000476837158,250000
2025-04-24 13:30:00,1.2000000476837158,1.277999997138977,1.194000005722046,1.25,270900
2025-04-25 13:30:00,1.25,1.25,1.1699999570846558,1.2300000190734863,180900
2025-04-28 13:30:00,1.25,1.25,1.2000000476837158,1.2400000095367432,186000
2025-04-29 13:30:00,1.2300000190734863,1.2699999809265137,1.2300000190734863,1.2300000190734863,152800
2025-04-30 13:30:00,1.2300000190734863,1.440000057220459,1.2200000286102295,1.350000023841858,590900
2025-05-01 13:30:00,1.3600000143051147,1.3700000047683716,1.2799999713897705,1.309999942779541,190800
2025-05-02 13:30:00,1.3200000524520874,1.350000023841858,1.2999999523162842,1.309999942779541,205900
2025-05-05 13:30:00,1.3200000524520874,1.340000033378601,1.2799999713897705,1.3200000524520874,127800
2025-05-06 13:30:00,1.2999999523162842,1.315999984741211,1.2419999837875366,1.2699999809265137,111600
2025-05-07 13:30:00,1.2699999809265137,1.309999942779541,1.2599999904632568,1.284999966621399,106000
2025-05-08 13:30:00,1.2899999618530273,1.3200000524520874,1.2599999904632568,1.2899999618530273,139600
2025-05-09 13:30:00,1.2999999523162842,1.350000023841858,1.2799999713897705,1.3200000524520874,124100
